Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
Date,,,,,,,,,,,,,,,
2020-04-20,67.04100036621094,166.98211669921875,49.75733184814453,68.19091103013936,170.50184951587818,51.03799819946289,67.02163670043845,166.91535431260507,47.48066711425781,67.28793327913718,168.4796783917098,48.8466682434082,130015200,36669600,221199000
2020-04-21,64.9687271118164,160.0762176513672,45.781333923339844,67.11845556313274,165.65626989096575,50.22200012207031,64.25699249245112,158.44511650151756,44.919334411621094,66.88363145554771,165.49411601952747,48.67466735839844,180991600,56203700,303136500
2020-04-22,66.84007263183594,165.5132293701172,48.807334899902344,67.27582530173389,165.9710765404302,48.93333435058594,65.89593692179542,162.93781902439517,45.91400146484375,66.23727232674312,163.48150981013578,46.93199920654297,116862400,34620200,212482500
2020-04-23,66.58104705810547,163.51010131835938,47.04199981689453,68.20786856663918,166.98213885982287,48.93333435058594,66.54231233315308,163.0236396780882,46.87533187866211,66.78439882318551,166.07597797475438,48.50666809082031,124814400,32790800,198550500
2020-04-24,68.5031967163086,166.49571228027344,48.34333419799805,68.5128822420226,166.5052456088638,48.71533203125,67.05794044796141,162.83290555295895,46.54533386230469,67.10636068864,164.1206035382632,47.387332916259766,126161200,34277600,198180000
2020-04-27,68.55164337158203,166.01873779296875,53.25,68.8833007231406,168.73722026620558,53.29933166503906,67.77212447879492,165.30334537032283,49.0,68.21997863212916,168.44152706026333,49.17399978637695,117087600,33194400,310221000
2020-04-28,67.4404525756836,161.97439575195312,51.27466583251953,69.1955796657155,167.56399631501924,53.66666793823242,67.34846591334697,161.57377770466547,50.44599914550781,69.01401479433288,167.48768603629338,53.042667388916016,112004800,34392700,228330000
2020-04-29,69.65553283691406,169.24276733398438,53.367332458496094,70.125181113428,169.48123148085955,53.54666519165039,68.7259218099285,163.948874917113,52.21066665649414,68.92927352946674,165.2270392512367,52.678001403808594,137280800,51286600,243240000
2020-04-30,71.12500762939453,170.94064331054688,52.12533187866211,71.30173342629523,172.07572040952087,57.987998962402344,69.8056406949222,168.09814023599054,50.900001525878906,70.195396396661,171.69418360117456,57.01266860961914,183064000,53875900,427078500
2020-05-01,69.97992706298828,166.5147247314453,46.75466537475586,72.38384357310822,170.3969128508255,51.518001556396484,69.20040845206991,165.98055290226395,45.5359992980957,69.29724154783354,167.68796407038647,50.33333206176758,240616800,39370500,487977000
2020-05-04,70.9700698852539,170.5877227783203,50.74599838256836,71.09837541785019,170.7403433381187,50.79999923706055,69.31419932975179,165.78029158225254,46.53333282470703,70.00414724151751,166.43845501102263,46.733333587646484,133568000,30372900,288556500
2020-05-05,72.03524780273438,172.4191131591797,51.2140007019043,72.868025831844,175.17575814112513,53.26133346557617,71.28477828502723,171.59879590392794,50.8120002746582,71.43003164134032,172.28557381784552,52.65266799926758,147751200,36839200,254875500
2020-05-06,72.77845001220703,174.11700439453125,52.172000885009766,73.41029209502018,175.70041008950886,52.6533317565918,72.35237549978946,173.2490058153293,50.740665435791016,72.73729206539267,173.67823844103557,51.766666412353516,142333600,32139300,166848000
2020-05-07,73.53133392333984,175.1280517578125,52.00266647338867,73.87752315205448,176.03421248325236,53.09333419799805,73.10284357834273,174.15511409396507,51.4900016784668,73.40545163246576,175.6717423711986,51.81399917602539,115215200,28316000,172915500
